
Instruction,Input,Output
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me red nike shoes above Rs. 2000""","{ ""prompt"":""show me red nike shoes above Rs. 2000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Shoes"", ""brand_name"":""Nike"", ""price_min"": ""2000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""red"", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me green sarees above Rs. 1000""","{ ""prompt"":""show me green sarees above Rs. 1000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sarees"", ""brand_name"":"""", ""price_min"": ""1000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""green"", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me blue adidas jackets below Rs. 3000""","{ ""prompt"":""show me blue adidas jackets below Rs. 3000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Jackets"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""3000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""blue"", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""proceed to checkout with items in cart""","{ ""prompt"":""proceed to checkout with items in cart"", ""action_intent"": ""checkout"", ""filters"": { ""category_name"":"""", ""brand_name"":"""", ""price_min"": """", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": """", ""colour"": """", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""add black puma shoes to cart""","{ ""prompt"":""add black puma shoes to cart"", ""action_intent"": ""add to cart"", ""filters"": { ""category_name"":""Shoes"", ""brand_name"":""Puma"", ""price_min"": """", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""black"", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""initiate refund for the last order""","{ ""prompt"":""initiate refund for the last order"", ""action_intent"": ""refund"", ""filters"": { ""category_name"":"""", ""brand_name"":"""", ""price_min"": """", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": """", ""colour"": """", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find black leather wallets under Rs. 1500""","{ ""prompt"":""find black leather wallets under Rs. 1500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Wallets"", ""brand_name"":"""", ""price_min"": ""0"", ""price_max"": ""1500"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""black"", ""size"" : """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me sarees above Rs. 1000""","{""prompt"": ""show me sarees above Rs. 1000"",""action_intent"": ""search"",""filters"": {""category_name"": ""Sarees"",""brand_name"": """",""price_min"": ""1000"",""price_max"": """",""provider_name"": """",""query_entity_type"": ""product"",""colour"": """",""size"": """"} }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me blue adidas shirts under Rs. 1500""","{ ""prompt"":""show me blue adidas shirts under Rs. 1500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Shirts"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""1500"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""blue"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find black puma jackets above Rs. 3000""","{ ""prompt"":""find black puma jackets above Rs. 3000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Jackets"", ""brand_name"":""Puma"", ""price_min"": ""3000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""black"", ""size"": """" } }"
